,attraction_id,attraction_name,total_upcoming_attraction_events,upcoming_attraction_ticketmaster_events,attraction_genre
0,K8vZ9175nZV,Mannheim Steamroller Christmas,26,6,New Age
1,K8vZ9175MzV,Killer Queen,28,25,Undefined
2,K8vZ9178G2V,Yoga Lin,3,3,Pop
3,K8vZ917oss0,Romesh Ranganathan,35,35,Comedy
4,K8vZ9172G4V,Elite Arts Academy,1,1,Dance
5,K8vZ91719GV,Paul Taylor,2,2,Jazz
6,K8vZ917G8zV,Feuerengel,2,NA,Undefined
7,K8vZ917GebV,Queen It's a Kinda Magic,2,2,Rock
8,K8vZ917QRD7,Cirque Musica Querida,64,64,Espectaculo
9,K8vZ917QTT0,Babylon,1,1,Drama
10,K8vZ917QpKf,Tape B,1,1,Dance/Electronic
11,K8vZ917_U40,Big East Women's Basketball Tournament,6,6,Basketball
12,K8vZ9171oZf,Phoenix Suns,53,50,Basketball
13,K8vZ9171Jo7,P!NK,45,38,Rock
14,K8vZ91719n0,Shania Twain,84,79,Country
15,K8vZ9171ob7,Eagles,8,7,Rock
16,K8vZ9171oMf,Kansas City Chiefs,8,8,Football
17,K8vZ9171ogV,Pittsburgh Steelers,6,6,Football
18,K8vZ9171oVV,Las Vegas Raiders,5,5,Football
19,K8vZ9171oU0,Philadelphia Eagles,8,8,Football
20,K8vZ9171oGf,Buffalo Bills,6,6,Football
21,K8vZ9171oMV,San Francisco 49ers,6,6,Football
22,K8vZ9171oC7,Green Bay Packers,5,5,Football
23,K8vZ9171oM7,Minnesota Vikings,6,6,Football
24,K8vZ9171og7,Denver Broncos,10,10,Football
25,K8vZ9171ogf,Miami Dolphins,9,9,Football
26,K8vZ9171oPf,Carolina Panthers,7,7,Football
27,K8vZ9171og0,Los Angeles Chargers,7,7,Football
28,K8vZ9171oCV,Tampa Bay Buccaneers,7,7,Football
29,K8vZ9171ovV,Cincinnati Bengals,7,7,Football
30,K8vZ917pZO0,Disney On Ice presents Into the Magic,135,126,Ice Shows
31,K8vZ917GSz7,Imagine Dragons,24,18,Rock
32,K8vZ9171oV7,Cleveland Browns,4,4,Football
33,K8vZ91719eV,Baltimore Ravens,6,6,Football
34,K8vZ9171oGV,New York Jets,5,5,Football
35,K8vZ9171oZ0,Philadelphia 76ers,54,48,Basketball
36,K8vZ91719u7,Tennessee Titans,7,7,Football
37,K8vZ9171ou0,Atlanta Falcons,4,4,Football
38,K8vZ9171oV0,Indianapolis Colts,3,3,Football
39,K8vZ91756Kf,Houston Texans,5,5,Football
40,K8vZ917198f,Arizona Cardinals,7,7,Football
41,K8vZ9172HM0,Disney On Ice presents Find Your Hero,102,102,Ice Shows
42,K8vZ9171poV,Jacksonville Jaguars,4,4,Football
43,K8vZ9171ouV,New Orleans Saints,4,4,Football
44,K8vZ9171oo7,Arizona Coyotes,55,52,Hockey
45,K8vZ917CDpV,Disney On Ice presents Dream Big,21,21,Ice Shows
46,K8vZ917GFIf,Lady A,26,15,Country
47,K8vZ917p1_0,Harry Potter and the Cursed Child (NY),460,165,Theatre
48,K8vZ9174v10,Tucson Roadrunners,44,36,Hockey
49,K8vZ9171MW7,University of Texas Longhorns Football,1,NA,Football
50,K8vZ91718nV,The Spinners,19,12,R&B
51,K8vZ91736o7,Super Bowl LVII,1,1,Football
52,K8vZ9174vUV,The Masters,8,NA,Golf
53,K8vZ9171Qd0,Capital One Orange Bowl,1,1,Football
54,K8vZ917uyff,Monster Jam,225,187,Motorsports/Racing
55,K8vZ9173dS7,Sonja Alden,0,NA,Pop
56,K8vZ9178HC7,Stand Up,0,NA,Community/Civic
57,K8vZ917QTyf,Sonja Aldén & Peter Johansson i Ribbingsnäs Ladugård,0,NA,Undefined
58,K8vZ917bA20,Reis deg komikerklubb,0,NA,Comedy
59,K8vZ917bH-V,Standup Prøverøret,0,NA,Comedy
60,K8vZ917bzPf,Peter Johansson,0,NA,Undefined
61,K8vZ917CAQV,Ed Sheeran,31,29,Pop
62,K8vZ9171f30,Kenny Chesney,23,22,Country
63,K8vZ917K2sV,Hamilton (NY),180,180,Theatre
64,K8vZ917KVr7,Luke Combs,25,19,Country
65,K8vZ9171uv0,Billy Joel,18,17,Rock
66,K8vZ9174wRf,Hamilton (Touring),464,250,Theatre
67,K8vZ9171G-7,Elton John,64,45,Rock
68,K8vZ9171okV,New York Yankees,395,321,Baseball
69,K8vZ917o6G0,SZA,20,19,R&B
70,K8vZ9174XZ0,Harry Styles,47,30,Pop
71,K8vZ9171oa0,Golden State Warriors,52,46,Basketball
72,K8vZ9171L10,Trans-Siberian Orchestra,38,32,Rock
73,K8vZ917KYU0,Dead & Company,39,32,Rock
74,K8vZ917G4u0,Luke Bryan,13,1,Country
75,K8vZ917G9e7,Justin Bieber,53,34,Rock
76,K8vZ9175Tr0,Taylor Swift,52,47,Pop
77,K8vZ91715w7,Janet Jackson,38,36,Rock
78,K8vZ9171K10,Christmas Spectacular Starring The Radio City Rockettes,63,63,Theatre
79,K8vZ9171CY7,Def Leppard,43,17,Rock
80,K8vZ91713NV,Dave Matthews Band,2,2,Rock
81,K8vZ9175zn0,Zac Brown Band,28,26,Country
82,K8vZ9171G9V,Metallica,65,35,Metal
83,K8vZ9178Sb7,Chris Stapleton,10,9,Country
84,K8vZ9171pNf,blink-182,88,67,Rock
85,K8vZ9171aAV,Garth Brooks,28,28,Country
86,K8vZ91718Xf,Boston Celtics,52,48,Basketball
87,K8vZ91712F0,Journey,40,25,Rock
88,K8vZ9171hM0,Bruce Springsteen and The E Street Band,58,39,Rock
89,K8vZ9171Fo7,George Strait,8,7,Country
90,K8vZ9171FAV,Phish,5,5,Rock
91,K8vZ917GJc7,Bruno Mars,13,13,Rock
92,K8vZ9175zpV,Jason Aldean,4,3,Country
93,K8vZ9171FkV,Red Hot Chili Peppers,33,21,Rock
94,K8vZ9171oA7,Atlanta Braves,198,115,Baseball
95,K8vZ9171o6f,Seattle Mariners,206,112,Baseball
96,K8vZ91718zf,WWE,67,55,Wrestling
97,K8vZ9172Ln7,The Weeknd,30,10,Hip-Hop/Rap
98,K8vZ917Cqe0,Thomas Rhett,56,52,Country
99,K8vZ9175U20,Carrie Underwood,43,20,Country
100,K8vZ91714jV,Jeff Dunham,47,41,Comedy
101,K8vZ9171oG0,Dallas Cowboys,4,4,Football
102,K8vZ91718T0,Los Angeles Lakers,54,47,Basketball
103,K8vZ917544V,Maroon 5,41,19,Rock
104,K8vZ9171o57,New York Knicks,53,48,Basketball
105,K8vZ9171o27,Boston Bruins,53,50,Hockey
106,K8vZ9171oBV,Tampa Bay Lightning,52,51,Hockey
107,K8vZ917GQ1f,Kevin Hart,26,16,Comedy
108,K8vZ91719tf,Backstreet Boys,2,2,Rock
109,K8vZ9171izV,Coldplay,32,6,Rock
110,K8vZ9171Cjf,Jimmy Buffett,5,3,Rock
111,K8vZ9175w1f,Wicked (NY),251,251,Theatre
112,K8vZ9171oU7,Seattle Seahawks,3,3,Football
113,K8vZ9171o8f,Pittsburgh Penguins,53,50,Hockey
114,K8vZ91719p7,Matchbox Twenty,55,51,Rock
115,K8vZ9171U8V,Monster Energy Supercross,16,14,Motorsports/Racing
116,K8vZ91719t0,Los Angeles Rams,4,4,Football
117,K8vZ9171oZ7,Miami Heat,51,47,Basketball
118,K8vZ91718X0,Chicago Bulls,53,47,Basketball
119,K8vZ9171o8V,Washington Capitals,49,46,Hockey
120,K8vZ91739Nf,Shawn Mendes,29,10,Rock
121,K8vZ91718XV,Atlanta Hawks,54,48,Basketball
122,K8vZ9171o87,New York Rangers,50,49,Hockey
123,K8vZ9175gR0,"The Lion King (New York, NY)",276,276,Theatre
124,K8vZ9171Bm7,Blake Shelton,20,19,Country
125,K8vZ9171X6V,Disney Presents The Lion King (Touring),259,62,Theatre
126,K8vZ917G5G0,Eric Church,1,1,Country
127,K8vZ9171o17,Dallas Mavericks,52,45,Basketball
128,K8vZ9171bQ0,Andrea Bocelli,18,11,Classical
129,K8vZ9171ou7,Chicago Bears,4,4,Football
130,K8vZ9171Kyf,MANÁ,23,20,World
131,K8vZ91718TV,Milwaukee Bucks,53,47,Basketball
132,K8vZ9171oz0,Chicago Blackhawks,53,52,Hockey
133,K8vZ917o630,Aladdin,274,274,Theatre
134,K8vZ91718y0,Colorado Rockies,190,116,Baseball
135,K8vZ9171o-f,Green Day,2,2,Rock
136,K8vZ917KjPf,Post Malone,11,8,Hip-Hop/Rap
137,K8vZ9171C80,Guns N' Roses,3,3,Rock
138,K8vZ9171ov0,San Antonio Spurs,53,46,Basketball
139,K8vZ9171ok0,Chicago White Sox,134,39,Baseball
140,K8vZ91754JV,Wicked (Touring),293,64,Theatre
141,K8vZ9175Nnf,Charlotte Hornets,53,47,Basketball
142,K8vZ91718pf,Santana,21,21,Rock
143,K8vZ9171Gb7,Mötley Crüe,43,17,Metal
144,K8vZ9171-C0,Columbus Blue Jackets,74,70,Hockey
145,K8vZ9171oCf,New York Giants,5,5,Football
146,K8vZ9171ouf,New England Patriots,7,7,Football
147,K8vZ9171oZV,Portland Trail Blazers,52,48,Basketball
148,K8vZ9171ov7,Orlando Magic,52,47,Basketball
149,K8vZ9174qlV,Morgan Wallen,64,54,Country
150,K8vZ917fFLf,Kane Brown,41,27,Country
151,K8vZ9171oVf,Washington Wizards,52,47,Basketball
152,K8vZ9171Cx0,KISS,10,6,Rock
153,K8vZ9171o2V,St. Louis Blues,51,48,Hockey
154,K8vZ9171Kg7,Memphis Grizzlies,53,48,Basketball
155,K8vZ9175rM7,Gabriel Iglesias,42,8,Comedy
156,K8vZ9174Za7,Billie Eilish,15,15,Pop
157,K8vZ9171CG7,Foreigner,60,54,Rock
158,K8vZ9171o5f,Brooklyn Nets,52,22,Basketball
159,K8vZ9175MQf,Chris Brown,26,14,R&B
160,K8vZ917GCg7,Oklahoma City Thunder,52,47,Basketball
161,K8vZ9171oM0,Washington Commanders,4,4,Football
162,K8vZ9171o1f,Indiana Pacers,52,50,Basketball
163,K8vZ9175T17,Jonas Brothers,4,4,Rock
164,K8vZ9171oyV,New Jersey Devils,51,49,Hockey
165,K8vZ917135f,Rod Stewart,39,39,Rock
166,K8vZ9171o50,Sacramento Kings,54,46,Basketball
167,K8vZ9171_Y7,Nashville Predators,53,50,Hockey
168,K8vZ9171o2f,Carolina Hurricanes,52,50,Hockey
169,K8vZ9171o20,Detroit Red Wings,52,49,Hockey
170,K8vZ91710df,Keith Urban,24,24,Country
171,K8vZ9171ozV,Dallas Stars,50,46,Hockey
172,K8vZ917GJk0,Jo Koy,40,25,Comedy
173,K8vZ9171oE7,Tim McGraw,2,2,Country
174,K8vZ9175R0V,Jim Gaffigan,40,29,Comedy
175,K8vZ9171oBf,San Jose Sharks,50,48,Hockey
176,K8vZ9171a2f,Reba McEntire,15,14,Country
177,K8vZ9171oq7,Jerry Seinfeld,54,38,Comedy
178,K8vZ9178oX0,5 Seconds of Summer,7,7,Rock
179,K8vZ9171fVV,Adam Sandler,12,11,Comedy
180,K8vZ9171u0V,Chicago,35,28,Rock
181,K8vZ9175jqf,Dierks Bentley,2,2,Country
182,K8vZ9171oUf,Detroit Lions,5,5,Football
183,K8vZ9171bp7,Arizona Diamondbacks,116,44,Baseball
184,K8vZ917Gun0,Ohio State Buckeyes Football,6,1,Football
185,K8vZ9171oa7,Cleveland Cavaliers,51,21,Basketball
186,K8vZ9171KM7,Colorado Avalanche,53,52,Hockey
187,K8vZ9175iO0,Miranda Lambert,24,24,Country
188,K8vZ9171pMf,Florida Panthers,50,48,Hockey
189,K8vZ91718D0,Los Angeles Angels,218,49,Baseball
190,K8vZ9172Wtf,Pentatonix,16,8,Rock
191,K8vZ9175G-f,Disney On Ice presents Let's Celebrate,100,57,Ice Shows
192,K8vZ9171oaf,Denver Nuggets,54,46,Basketball
193,K8vZ9171GRV,New Kids On the Block,1,NA,Rock
194,K8vZ917QfVV,Disney On Ice presents Frozen & Encanto,164,117,Ice Shows
195,K8vZ91718T7,Detroit Pistons,50,45,Basketball
196,K8vZ9171-9f,Minnesota Wild,52,50,Hockey
197,K8vZ9171o_0,New York Islanders,50,48,Hockey
198,K8vZ9179H60,Disney On Ice presents Road Trip Adventures,122,108,Ice Shows
199,K8vZ91718DV,Cleveland Guardians,198,31,Baseball
